City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,aleksandrovsk-sakhalinskiy,50.8975,142.1561,292.65,76,100,3.53,RU,1692948667
287,pimentel,-6.8367,-79.9342,294.31,78,20,5.66,PE,1692948667
288,ilebo,-4.3167,20.5833,305.23,49,7,2.52,CD,1692948668
289,coronel suarez,-37.4547,-61.9334,275.22,50,0,2.99,AR,1692948668
290,veinticinco de mayo,-35.4323,-60.1727,278.7,68,11,0.89,AR,1692948669
291,tynda,55.1667,124.7167,291.62,44,4,2.66,RU,1692948635
292,prineville,44.2999,-120.8345,292.66,75,0,0.0,US,1692948669
293,kijang,35.2442,129.2139,304.0,71,14,5.74,KR,1692948670
294,dhidhdhoo,6.8833,73.1,301.4,71,80,2.58,MV,1692948670
295,hadibu,12.65,54.0333,302.32,64,59,10.41,YE,1692948529
296,skikda,36.8762,6.9092,303.41,44,0,0.24,DZ,1692948671
297,baise city,23.8997,106.6133,304.25,74,86,2.0,CN,1692948671
298,sao paulo de olivenca,-3.3783,-68.8725,295.64,95,3,1.09,BR,1692948671
299,colonia,50.9333,6.95,294.2,87,0,3.6,DE,1692948350
300,udachny,66.4167,112.4,298.4,38,86,7.07,RU,1692948494
301,miramichi,47.0043,-65.4654,283.93,93,100,1.16,CA,1692948672
302,awjilah,29.1081,21.2869,307.2,22,0,1.69,LY,1692948518
303,bam,29.106,58.357,307.56,11,14,6.07,IR,1692948337
304,ola,59.5833,151.2833,284.9,91,100,7.64,RU,1692948329
305,saipan,15.1355,145.701,301.54,100,100,2.06,MP,1692948634
306,swakopmund,-22.6833,14.5333,285.36,88,30,1.34,NA,1692948088
307,natal,-5.795,-35.2094,295.51,100,40,2.06,BR,1692948674
308,kirovskaya,46.9748,40.0402,296.46,26,7,4.56,RU,1692948675
309,astrakhan,46.3497,48.0408,300.08,30,40,6.0,RU,1692948675
310,kondopoga,62.2057,34.2614,287.98,49,21,1.66,RU,1692948676
311,acapulco de juarez,16.8634,-99.8901,298.05,88,100,2.57,MX,1692948154
312,ixtapa,20.7,-105.2,298.16,95,43,0.85,MX,1692948676
313,mezhdurechenskiy,59.6,65.9333,281.96,94,100,2.79,RU,1692948677
314,san antonio de pale,-1.4014,5.6325,296.58,92,99,4.77,GQ,1692948294
315,ciudad lazaro cardenas,17.9583,-102.2,299.26,83,67,1.25,MX,1692948517
316,hilton head island,32.2163,-80.7526,300.92,82,0,1.54,US,1692948678
317,mangai,-4.05,19.5333,301.96,56,6,2.51,CD,1692948129
318,walvis bay,-22.9575,14.5053,285.42,87,100,1.03,NA,1692948669
319,aykhal,66.0,111.5,295.58,46,100,7.3,RU,1692948348
320,turar ryskulov,42.5333,70.3333,305.52,17,1,6.35,KZ,1692948679
321,sabha,27.0377,14.4283,304.75,30,23,7.37,LY,1692948133
322,mermoz boabab,14.7065,-17.4758,298.03,94,40,0.0,SN,1692948680
323,afaahiti,-17.75,-149.2833,297.08,80,80,6.93,PF,1692948558
324,malango,-2.9627,119.9001,297.56,81,53,1.9,ID,1692948680
325,cukai,4.25,103.4167,305.12,69,24,2.9,MY,1692948623
326,ati,13.2154,18.3353,303.9,53,97,1.1,TD,1692948681
327,tobelo,1.7284,128.0095,301.16,77,100,0.52,ID,1692948681
328,black river,18.0264,-77.8487,300.52,86,97,1.6,JM,1692948385
329,la'ie,21.6477,-157.9253,301.13,75,2,3.13,US,1692948588
330,singkil,-7.9855,111.4161,303.49,52,18,4.99,ID,1692948682
331,stephenville,32.2207,-98.2023,304.13,45,0,0.0,US,1692948682
332,klyuchi,52.2667,79.1667,294.69,67,84,10.25,RU,1692948637
333,fuding,27.3273,120.214,300.84,93,100,0.85,CN,1692948683
334,ugoofaaru,5.6667,73.0,301.6,70,100,3.34,MV,1692948451
335,egilsstadir,65.2653,-14.3948,283.1,81,0,1.54,IS,1692948573
336,ain sefra,32.75,-0.5833,300.15,37,0,1.7,DZ,1692948684
337,shuangjiang,26.1547,109.7138,301.69,76,90,1.03,CN,1692948685
338,kawm hamadah,30.761,30.6973,308.1,31,0,4.26,EG,1692948685
339,alofi,-19.0595,-169.9187,296.09,88,100,4.63,NU,1692948685
340,guapore,-28.8456,-51.8903,281.32,99,16,1.12,BR,1692948686
341,hereford,52.0568,-2.7148,289.26,88,74,2.37,GB,1692948687
342,namibe,-15.1961,12.1522,293.18,84,100,0.93,AO,1692948592
343,pacasmayo,-7.4006,-79.5714,292.02,89,72,4.45,PE,1692948688
344,keflavik,64.0049,-22.5624,282.39,100,75,3.6,IS,1692948485
345,boa vista,2.8197,-60.6733,299.14,73,0,1.54,BR,1692948689
346,hami,42.8,93.45,304.91,17,7,2.13,CN,1692948690
347,qamdo,31.1667,97.2333,288.15,47,100,1.9,CN,1692948619
348,macas,-2.3167,-78.1167,290.5,90,84,1.81,EC,1692948690
349,port alfred,-33.5906,26.891,296.58,43,0,2.24,ZA,1692948526
350,kuqa,41.7278,82.9364,304.67,18,0,1.68,CN,1692948691
351,luoyang,34.6836,112.4536,302.11,58,100,3.58,CN,1692948691
352,vila franca do campo,37.7167,-25.4333,293.38,86,39,2.06,PT,1692948486
353,mugia,43.1041,-9.2179,293.24,83,100,5.2,ES,1692948590
354,warrnambool,-38.3833,142.4833,284.45,77,100,4.27,AU,1692948599
355,polignano a mare,40.9959,17.2159,305.44,58,0,3.86,IT,1692948693
356,siwa oasis,29.2041,25.5195,307.32,29,0,2.6,EG,1692948693
357,jinchang,38.4953,102.1739,292.86,54,55,4.4,CN,1692948693
358,sunan,39.1983,125.69,299.44,73,1,3.45,KP,1692948694
359,northam,51.0333,-4.2167,289.07,85,100,4.47,GB,1692948694
360,sandpoint,48.2766,-116.5533,290.23,71,0,7.72,US,1692948695
361,shimoda,34.6667,138.95,304.35,74,22,2.6,JP,1692948452
362,klaksvik,62.2266,-6.589,285.66,99,98,6.95,FO,1692948695
363,horta,38.5333,-28.6333,294.95,85,40,8.05,PT,1692948695
364,ketchikan,55.3422,-131.6461,289.41,82,0,6.17,US,1692948696
